Date	Species	Strain	Genotype	Primary	H2O2	Dilutions	Count	scaled	r
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	Mock	1000	302	302	1
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	20 mM	250	646	161.5	0.5347682119205298
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	40 mM	250	674	168.5	0.5579470198675497
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	60 mM	250	468	117	0.38741721854304634
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	80 mM	250	186	46.5	0.15397350993377484
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	Mock	100 mM	250	107	26.75	0.08857615894039735
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	Mock	1000	330	330	1
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	20 mM	250	712	178	0.5393939393939394
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	40 mM	250	636	159	0.4818181818181818
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	60 mM	250	426	106.5	0.32272727272727275
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	80 mM	250	396	99	0.3
05/17/23	Cg	yH699	sch9::Sch9-3E-NAT	-Pi	100 mM	250	149	37.25	0.11287878787878788
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	Mock	Mock	1000	406	406	1
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	Mock	20 mM	250	201	50.25	0.12376847290640394
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	Mock	40 mM	250	45	11.25	0.02770935960591133
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	Mock	60 mM	250	7	1.75	0.004310344827586207
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	Mock	80 mM	250	3	0.75	0.0018472906403940886
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	Mock	100 mM	250	1	0.25	6.157635467980296e-4
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	-Pi	Mock	1000	351	351	1
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	-Pi	20 mM	250	410	102.5	0.292022792022792
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	-Pi	40 mM	250	212	53	0.150997150997151
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	-Pi	60 mM	250	91	22.75	0.06481481481481481
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	-Pi	80 mM	250	33	8.25	0.023504273504273504
05/17/23	Cg	yH695	sch9::Sch9-WT-NAT	-Pi	100 mM	250	24	6	0.017094017094017096
