# Date: experiment date, A/B/letters is biological replicates done on the same day
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary
# Len_1: length of primary stress treatment
# Len_2: length of secondary stress treatment
# Dilutions: dilutions for CFU assay
# Count: raw counts on CFU plates
Date	Index	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
08/01/23	20230801a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2 mM	100	86
08/01/23	20230801a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2.5 mM	100	23
08/01/23	20230801a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	3 mM	100	19
08/01/23	20230801a	yH285	Cg	Cgcta1::CgCTA1	MM	45 min	2 hr	0 mM	1000	332
08/01/23	20230801a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	60 mM	100	166
08/01/23	20230801a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	80 mM	100	73
08/01/23	20230801a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	100 mM	100	39
08/01/23	20230801a	yH285	Cg	Cgcta1::CgCTA1	PM	45 min	2 hr	0 mM	1000	189
08/01/23	20230801a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	60 mM	1000	75
08/01/23	20230801a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	80 mM	1000	65
08/01/23	20230801a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	100 mM	1000	35
08/01/23	20230801a	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	279
08/01/23	20230801a	yH181	Cg	wt	MO	45 min	2 hr	60 mM	100	17
08/01/23	20230801a	yH181	Cg	wt	MO	45 min	2 hr	80 mM	100	7
08/01/23	20230801a	yH181	Cg	wt	MO	45 min	2 hr	100 mM	100	3
08/01/23	20230801a	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	161
08/01/23	20230801a	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	39
08/01/23	20230801a	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	21
08/01/23	20230801a	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	11
08/03/23	20230803a	yH271	Cg	cta1::URA3	MM	45 min	2 hr	0 mM	1000	478
08/03/23	20230803a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2 mM	100	183
08/03/23	20230803a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2.5 mM	100	74
08/03/23	20230803a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	3 mM	100	33
08/03/23	20230803a	yH271	Cg	cta1::URA3	PM	45 min	2 hr	0 mM	1000	243
08/03/23	20230803a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2 mM	100	178
08/03/23	20230803a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2.5 mM	100	50
08/03/23	20230803a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	3 mM	100	48
08/03/23	20230803a	yH285	Cg	Cgcta1::CgCTA1	MM	45 min	2 hr	0 mM	1000	489
08/03/23	20230803a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	60 mM	100	369
08/03/23	20230803a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	80 mM	100	203
08/03/23	20230803a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	100 mM	100	67
08/03/23	20230803a	yH285	Cg	Cgcta1::CgCTA1	PM	45 min	2 hr	0 mM	1000	320
08/03/23	20230803a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	60 mM	1000	90
08/03/23	20230803a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	80 mM	1000	123
08/03/23	20230803a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	100 mM	1000	96
08/03/23	20230803a	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	456
08/03/23	20230803a	yH181	Cg	wt	MO	45 min	2 hr	60 mM	100	91
08/03/23	20230803a	yH181	Cg	wt	MO	45 min	2 hr	80 mM	100	52
08/03/23	20230803a	yH181	Cg	wt	MO	45 min	2 hr	100 mM	100	11
08/03/23	20230803a	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	318
08/03/23	20230803a	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	72
08/03/23	20230803a	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	50
08/03/23	20230803a	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	51
08/03/23	20230803b	yH271	Cg	cta1::URA3	MM	45 min	2 hr	0 mM	1000	422
08/03/23	20230803b	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2 mM	100	199
08/03/23	20230803b	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2.5 mM	100	200
08/03/23	20230803b	yH271	Cg	cta1::URA3	MO	45 min	2 hr	3 mM	100	71
08/03/23	20230803b	yH271	Cg	cta1::URA3	PM	45 min	2 hr	0 mM	1000	213
08/03/23	20230803b	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2 mM	100	134
08/03/23	20230803b	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2.5 mM	100	77
08/03/23	20230803b	yH271	Cg	cta1::URA3	PO	45 min	2 hr	3 mM	100	54
08/03/23	20230803b	yH285	Cg	Cgcta1::CgCTA1	MM	45 min	2 hr	0 mM	1000	225
08/03/23	20230803b	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	60 mM	100	167
08/03/23	20230803b	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	80 mM	100	73
08/03/23	20230803b	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	100 mM	100	35
08/03/23	20230803b	yH285	Cg	Cgcta1::CgCTA1	PM	45 min	2 hr	0 mM	1000	291
08/03/23	20230803b	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	60 mM	1000	106
08/03/23	20230803b	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	80 mM	1000	101
08/03/23	20230803b	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	100 mM	1000	56
08/03/23	20230803b	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	361
08/03/23	20230803b	yH181	Cg	wt	MO	45 min	2 hr	60 mM	100	103
08/03/23	20230803b	yH181	Cg	wt	MO	45 min	2 hr	80 mM	100	27
08/03/23	20230803b	yH181	Cg	wt	MO	45 min	2 hr	100 mM	100	7
08/03/23	20230803b	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	241
08/03/23	20230803b	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	93
08/03/23	20230803b	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	29
08/03/23	20230803b	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	30
08/04/23	20230804a	yH271	Cg	cta1::URA3	MM	45 min	2 hr	0 mM	1000	244
08/04/23	20230804a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2 mM	100	19
08/04/23	20230804a	yH271	Cg	cta1::URA3	MO	45 min	2 hr	2.5 mM	100	12
08/04/23	20230804a	yH271	Cg	cta1::URA3	PM	45 min	2 hr	0 mM	1000	245
08/04/23	20230804a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2 mM	100	28
08/04/23	20230804a	yH271	Cg	cta1::URA3	PO	45 min	2 hr	2.5 mM	100	12
08/04/23	20230804a	yH285	Cg	Cgcta1::CgCTA1	MM	45 min	2 hr	0 mM	1000	314
08/04/23	20230804a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	60 mM	100	112
08/04/23	20230804a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	80 mM	100	67
08/04/23	20230804a	yH285	Cg	Cgcta1::CgCTA1	MO	45 min	2 hr	100 mM	100	14
08/04/23	20230804a	yH285	Cg	Cgcta1::CgCTA1	PM	45 min	2 hr	0 mM	1000	315
08/04/23	20230804a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	60 mM	1000	81
08/04/23	20230804a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	80 mM	1000	52
08/04/23	20230804a	yH285	Cg	Cgcta1::CgCTA1	PO	45 min	2 hr	100 mM	1000	39
08/04/23	20230804a	yH181	Cg	wt	MM	45 min	2 hr	0 mM	1000	472
08/04/23	20230804a	yH181	Cg	wt	MO	45 min	2 hr	60 mM	100	74
08/04/23	20230804a	yH181	Cg	wt	MO	45 min	2 hr	80 mM	100	16
08/04/23	20230804a	yH181	Cg	wt	MO	45 min	2 hr	100 mM	100	6
08/04/23	20230804a	yH181	Cg	wt	PM	45 min	2 hr	0 mM	1000	486
08/04/23	20230804a	yH181	Cg	wt	PO	45 min	2 hr	60 mM	1000	58
08/04/23	20230804a	yH181	Cg	wt	PO	45 min	2 hr	80 mM	1000	27
08/04/23	20230804a	yH181	Cg	wt	PO	45 min	2 hr	100 mM	1000	29
