# ------
# strain information
# ------
# yH298/299	CTA1pr-CTA1-GFP
# yH001/181	WT
# yH347	CTA1pr::URA3
# met3	MET3pr-CTA1-GFP
strain	treatment	day	time	median	count
yH298	Pi	2	60	18283	22434
yH299	mock	2	60	10490	20981
yH299	Pi	2	60	11416	21898
yH347	mock	2	60	242	22680
yH347	met	2	60	227	22809
yH347	Pi	2	60	227	22378
met3-1	mock	2	60	356	22524
met3-1	met	2	60	15012	24281
met3-2	mock	2	60	590	22600
met3-2	met	2	60	13750	22427
met3-3	mock	2	60	433	23787
met3-3	met	2	60	14025	23690
met3-4	mock	2	60	417	22356
met3-4	met	2	60	9414	23368
yH001	mock	2	90	274	7220
yH001	met	2	90	244	22354
yH001	Pi	2	90	199	21944
yH181	mock	2	90	306	7307
yH181	met	2	90	249	21594
yH181	Pi	2	90	259	21813
yH298	mock	2	90	17876	7863
yH298	Pi	2	90	27249	23096
yH299	mock	2	90	11582	19785
yH299	Pi	2	90	18338	21320
yH347	mock	2	90	236	21644
yH347	met	2	90	292	22118
yH347	Pi	2	90	461	6900
met3-1	mock	2	90	372	21623
met3-1	met	2	90	23485	23488
met3-2	mock	2	90	655	21568
met3-2	met	2	90	26981	22496
met3-3	mock	2	90	491	21981
met3-3	met	2	90	26561	22611
met3-4	mock	2	90	469	22391
met3-4	met	2	90	18608	22605
yH001	mock	2	120	188	20023
yH001	met	2	120	248	19768
yH001	Pi	2	120	232	21259
yH181	mock	2	120	183	19238
yH181	met	2	120	248	19301
yH181	Pi	2	120	243	20877
yH298	mock	2	120	13472	19171
yH298	Pi	2	120	36389	22595
yH299	mock	2	120	12107	19333
yH299	Pi	2	120	28309	21417
yH347	mock	2	120	211	20037
yH347	met	2	120	283	20785
yH347	Pi	2	120	280	20586
met3-1	mock	2	120	357	19904
met3-1	met	2	120	23941	21608
met3-2	mock	2	120	665	20256
met3-2	met	2	120	31597	21247
met3-3	mock	2	120	584	20619
met3-3	met	2	120	29337	20741
met3-4	mock	2	120	481	20127
met3-4	met	2	120	19734	20308
yH001	mock	3	0	143	23529
yH001	met	3	0	155	23445
yH001	Pi	3	0	156	23281
yH181	mock	3	0	155	22193
yH181	met 	3	0	163	22652
yH181	Pi	3	0	158	23485
yH298	mock	3	0	7405	24224
yH298	met	3	0	7585	23851
yH299	mock	3	0	6788	23853
yH299	met	3	0	6903	23014
yH347	mock 	3	0	167	22129
yH347	met 	3	0	166	22317
yH347	Pi	3	0	168	23926
met3-1	mock	3	0	257	25625
met3-1	met	3	0	250	23361
met3-2	mock	3	0	410	23742
met3-2	met	3	0	434	23337
met3-3	mock	3	0	342	23980
met3-3	met	3	0	352	23818
met3-4	mock 	3	0	237	22507
met3-4	met	3	0	247	23119
yH001	mock	3	30	165	22493
yH001	met	3	30	165	21937
yH001	Pi	3	30	149	22017
yH181	mock	3	30	176	23239
yH181	met	3	30	175	22238
yH181	Pi	3	30	165	23265
yH298	mock	3	30	11222	24340
yH298	Pi	3	30	11157	23464
yH299	mock	3	30	11809	23707
yH299	Pi	3	30	10744	21669
yH347	mock	3	30	181	23781
yH347	met	3	30	197	22823
yH347	Pi	3	30	177	22039
met3-1	mock	3	30	317	24793
met3-1	met	3	30	2885	21943
met3-2	mock	3	30	525	22469
met3-2	met	3	30	7902	22326
met3-3	mock	3	30	522	22854
met3-3	met	3	30	3260	23452
met3-4	mock	3	30	288	21313
met3-4	met	3	30	6287	21570
yH001	mock	3	45	184	22378
yH001	met	3	45	191	22497
yH001	Pi	3	45	192	21935
yH181	mock	3	45	202	23324
yH181	met	3	45	203	23713
yH181	Pi	3	45	188	22728
yH298	mock	3	45	12532	23724
yH298	Pi	3	45	12454	22706
yH299	mock	3	45	15042	23056
yH299	Pi	3	45	16473	21497
yH347	mock	3	45	212	23778
yH347	met	3	45	217	22674
yH347	Pi	3	45	201	23384
met3-1	mock	3	45	333	24595
met3-1	met	3	45	6956	22665
met3-2	mock	3	45	555	23478
met3-2	met	3	45	15954	23068
met3-3	mock	3	45	579	22290
met3-3	met	3	45	7221	23832
met3-4	mock	3	45	316	22075
met3-4	met	3	45	13518	23113
yH001	mock	3	60	198	21281
yH001	met	3	60	212	23634
yH001	Pi	3	60	234	21565
yH181	mock	3	60	216	21604
yH181	met	3	60	232	22230
yH181	Pi	3	60	210	21668
yH298	mock	3	60	12476	23215
yH298	Pi	3	60	12605	21648
yH299	mock	3	60	16486	22288
yH299	Pi	3	60	17571	20424
yH347	mock	3	60	236	21802
yH347	met 	3	60	240	21690
yH347	Pi	3	60	236	21448
met3-1	mock 	3	60	350	22318
met3-1	met	3	60	12822	21875
met3-2	mock	3	60	582	21619
met3-2	met	3	60	23039	21661
met3-3	mock	3	60	613	21224
met3-3	met	3	60	14023	22620
met3-4	mock	3	60	332	21568
met3-4	met	3	60	18401	22408
yH001	mock	3	90	199	20008
yH001	met	3	90	264	21072
yH001	Pi	3	90	258	21481
yH181	mock	3	90	228	21134
yH181	met	3	90	280	20675
yH181	Pi	3	90	413	20901
yH298	mock	3	90	11781	20779
yH298	Pi	3	90	14566	20823
yH299	mock	3	90	15843	21145
yH299	Pi	3	90	17272	20031
yH347	mock	3	90	254	21218
yH347	met	3	90	291	21005
yH347	Pi	3	90	345	21475
met3-1	mock	3	90	358	22299
met3-1	met	3	90	19160	20741
met3-2	mock	3	90	593	20638
met3-2	met	3	90	31463	21249
met3-3	mock	3	90	616	21190
met3-3	met	3	90	25757	22093
met3-4	mock	3	90	378	20557
met3-4	met	3	90	23221	21106
yH001	mock	3	120	175	16677
yH001	met	3	120	232	18523
yH001	Pi	3	120	228	20670
yH181	mock	3	120	187	18555
yH181	met	3	120	246	19764
yH181	Pi	3	120	256	20315
yH298	mock	3	120	10209	19133
yH298	Pi	3	120	23002	20809
yH299	mock	3	120	12635	19553
yH299	Pi	3	120	15704	18790
yH347	mock	3	120	190	18899
yH347	met	3	120	235	20176
yH347	Pi	3	120	431	21339
met3-1	mock	3	120	327	19489
met3-1	met	3	120	20589	20179
met3-2	mock	3	120	567	18959
met3-2	met	3	120	32218	20445
met3-3	mock	3	120	647	19230
met3-3	met	3	120	28782	20572
met3-4	mock	3	120	378	18487
met3-4	met	3	120	23146	20955
